code,d1,d2,d3,d4,d5,d6,d7,d8
长和,39830,18324,39000,18020,35100,15919,33008,14921
中电控股,4657,-907,13550,7436,14249,5909,12711,6125
香港中华煤气,6965.7,3889.4,9312.8,4789.4,8225.3,4472,7340.7,4330.7
汇丰控股,13835.52,57385.65,90493.39,72301.37,32429.42,107749.08,87325.93,60820.71
电能实业,7131,3791,7636,4120,8319,4024,6417,3476
恒生银行,24840,13656,24211,12647,20018,9838,16212,8005
恒基地产,16994,7515,31157,15030,30433,14158,21916,8611
新鸿基地产,15419,44912,20469,49951,33031,41782,20659,32666
新世界发展,1017.3,18160.1,11284.4,23338.1,11269.9,7675.7,4335.7,8666.3
太古股份公司A,9007,7939,23629,13501,26070,12138,9644,5061
银河娱乐,13041.55,6679.75,13507.39,7206.37,10504.36,4630.71,6283.4,2558.08
港铁公司,11932,5506,16008,7083,16829,7480,10254,5121
信和置业,2780.79,6914.9,3130.68,13995.95,10366.6,7414.67,3440.18,7090.44
恒隆地产,6172,3516,8078,4689,8124,3830,6195,2935
中国旺旺,1799.12,3960.4,1539.69,3771.56,1505.73,1414.4,1779.26,3963.96
吉利汽车,8977.2,4441.1,14662.21,7691,13223.71,5101.73,5752.67,2224.55
中信股份,53903,33518,50239,30668,43902,32261,43119,20182
万洲国际,11355.16,4458.48,7398.03,4034.7,8888.41,4358.71,8050.52,4274.06
中国石油化工股份,-20987.25,62832.81,49120.89,35791.2,18025.23,72055.16,67617.37,48567.11
香港交易所,9391,7412,5205,2608,9312,7484,5041,2562
创科实业,4767.25,2235.38,4336.5,1999.32,3692.19,1599.71,3178.19,1373.32
中国海外发展五百,45620.58,24941.52,44900.3,23218.77,40766.84,21654.47,37020.64,19685.53
腾讯控股,101887.9,80186.88,57061.89,31111.34,91961.43,72777.09,47106.53,28680.14
中国联通,3460.64,12475.36,10897.97,7613.02,4297.89,11912.38,9943.48,6799.39
领展房产基金,9226,12132,47761,17711,5953,16295,8009,27230
中国石油,-17791.75,50041.07,41376.12,31469.21,11950.4,61433.76,54251.73,30993.82
中海油,67147.3,33481.99,61675.31,29257.33,30827.74,19363.68,719.95,-8992.19
建设银行,88630.5,292383.65,250284.85,170919.46,89632.06,296755.58,242077.57,167237.63
中国移动,117426.56,62261.77,137454.9,75366.24,142624.08,73723.1,122570.57,70707.15
长江基建集团,10506,5943,10443,5942,10256,5657,9636,5511
恒安国际,4283.14,2079.86,4434.52,2240.45,4739.71,2228.77,4047.28,1895.57
中国神华,10925.61,45903.47,40154.16,26938.42,14986.66,51613.15,41944.64,28095.73
石药集团,4071.37,3142.44,2077.4,1082.93,3654.98,2733.84,1853.13,909.91
华润置地,31429.57,14100.39,28244.98,10067.57,23016.69,5111.9,19500.88,7683.97
长实集团,29134,15128,40117,24753,30125,14410,19415,8606
中国生物制药,2965.08,2509.45,1601.06,974.7,10541.93,2484.21,1562.76,949.31
友邦保险,51541.15,30240.56,2228,48012.41,22869.19,32342.51,16012.84,20865.31
工商银行,92619.45,341807.22,278830.95,186079.3,95562.39,346767.83,270139.19,182496.68
金沙中国有限公司,15757.77,8367.98,14718.42,7684.69,12577.56,8433.86,5302.81,2716.23
九龙仓置业,3928,6989,18027,10179,4900,17218,9917,4900
碧桂园,43353.37,17299.55,40447.71,14876.85,32528.16,9018.09,12988.25,6268.41
瑞声科技,2447.14,1638.9,852.65,492.29,4451.13,3115.14,2037.93,1395.07
申洲国际,5577.98,2678.16,5297.68,2478.38,4667.52,2122.89,3337.64,1686.67
中国平安,28497.54,164928.3,143601.05,108124.01,53042.05,125341.54,89727.26,66715.25
蒙牛乳业,4500.24,2302.27,3546.12,1776.73,2558.26,1331.22,-848.32,-751.16
舜宇光学科技,4372.16,1584.35,2909.45,1356.88,3608.27,1376.35,1432,540.41
中银香港,32184,17949,32000,17528,31070,17216,55503,42731
中国人寿,18686.38,63892.23,64062.78,41612.05,30327.45,13313.15,22443.49,18896.12
交通银行,23513.86,84655.31,66627.12,47280.86,24554.54,86109.84,64634.84,46806.7
